"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
102,0,0,0,0.526666666666667,0.44,0.323943661971831,0.278481012658228,NA,2,"1"
103,0,0,0,0.44,0.466666666666667,0.238095238095238,0.333333333333333,NA,2,"1"
104,0,0,0,0.493333333333333,0.52,0.236842105263158,0.243243243243243,NA,2,"1"
105,0,0,0,0.586666666666667,0.4,0.451612903225806,0.204545454545455,NA,2,"1"
106,0,0,0,0.44,0.413333333333333,0.25,0.393939393939394,NA,2,"1"
107,0,0,0,0.48,0.4,0.256410256410256,0.319444444444444,NA,2,"1"
108,0,0,0,0.466666666666667,0.48,0.2375,0.271428571428571,NA,2,"1"
109,0,0,0,0.5,0.4,0.28,0.266666666666667,NA,2,"1"
110,0,0,0,0.553333333333333,0.48,0.283582089552239,0.228915662650602,NA,2,"1"
111,0,0,0,0.506666666666667,0.4,0.256756756756757,0.289473684210526,NA,2,"1"
112,0,0,0,0.5,0.4,0.253333333333333,0.293333333333333,NA,2,"1"
113,0,0,0,0.446666666666667,0.453333333333333,0.204819277108434,0.343283582089552,NA,2,"1"
114,0,0,0,0.506666666666667,0.466666666666667,0.297297297297297,0.25,NA,2,"1"
115,0,0,0,0.56,0.44,0.333333333333333,0.226190476190476,NA,2,"1"
116,0,0,0,0.48,0.48,0.243589743589744,0.291666666666667,NA,2,"1"
117,0,0,0,0.52,0.413333333333333,0.319444444444444,0.269230769230769,NA,2,"1"
118,0,0,0,0.506666666666667,0.44,0.324324324324324,0.276315789473684,NA,2,"1"
119,0,0,0,0.48,0.386666666666667,0.307692307692308,0.333333333333333,NA,2,"1"
120,0,0,0,0.42,0.4,0.241379310344828,0.444444444444444,NA,2,"1"
121,0,0,0,0.553333333333333,0.506666666666667,0.328358208955224,0.168674698795181,NA,2,"1"
122,0,0,0,0.506666666666667,0.52,0.283783783783784,0.236842105263158,NA,2,"1"
123,0,0,0,0.533333333333333,0.426666666666667,0.4,0.25,NA,2,"1"
124,0,0,0,0.493333333333333,0.453333333333333,0.25,0.256756756756757,NA,2,"1"
125,0,0,0,0.553333333333333,0.453333333333333,0.358208955223881,0.253012048192771,NA,2,"1"
126,0,0,0,0.526666666666667,0.453333333333333,0.366197183098592,0.20253164556962,NA,2,"1"
127,0,0,0,0.44,0.453333333333333,0.19047619047619,0.363636363636364,NA,2,"1"
128,0,0,0,0.533333333333333,0.466666666666667,0.328571428571429,0.25,NA,2,"1"
129,0,0,0,0.486666666666667,0.426666666666667,0.285714285714286,0.315068493150685,NA,2,"1"
130,0,0,0,0.466666666666667,0.493333333333333,0.1625,0.257142857142857,NA,2,"1"
131,0,0,0,0.513333333333333,0.44,0.315068493150685,0.246753246753247,NA,2,"1"
132,0,0,0,0.526666666666667,0.493333333333333,0.309859154929577,0.240506329113924,NA,2,"1"
133,0,0,0,0.473333333333333,0.453333333333333,0.265822784810127,0.338028169014085,NA,2,"1"
134,0,0,0,0.513333333333333,0.386666666666667,0.287671232876712,0.337662337662338,NA,2,"1"
135,0,0,0,0.486666666666667,0.48,0.207792207792208,0.315068493150685,NA,2,"1"
136,0,0,0,0.54,0.386666666666667,0.420289855072464,0.271604938271605,NA,2,"1"
137,0,0,0,0.493333333333333,0.426666666666667,0.25,0.324324324324324,NA,2,"1"
138,0,0,0,0.466666666666667,0.373333333333333,0.3,0.328571428571429,NA,2,"1"
139,0,0,0,0.453333333333333,0.453333333333333,0.219512195121951,0.323529411764706,NA,2,"1"
140,0,0,0,0.48,0.386666666666667,0.282051282051282,0.263888888888889,NA,2,"1"
141,0,0,0,0.573333333333333,0.426666666666667,0.4375,0.174418604651163,NA,2,"1"
142,0,0,0,0.533333333333333,0.48,0.314285714285714,0.2125,NA,2,"1"
143,0,0,0,0.5,0.48,0.213333333333333,0.293333333333333,NA,2,"1"
144,0,0,0,0.526666666666667,0.426666666666667,0.323943661971831,0.30379746835443,NA,2,"1"
145,0,0,0,0.5,0.426666666666667,0.266666666666667,0.293333333333333,NA,2,"1"
146,0,0,0,0.54,0.426666666666667,0.376811594202899,0.259259259259259,NA,2,"1"
147,0,0,0,0.526666666666667,0.44,0.295774647887324,0.30379746835443,NA,2,"1"
148,0,0,0,0.433333333333333,0.426666666666667,0.247058823529412,0.4,NA,2,"1"
149,0,0,0,0.56,0.426666666666667,0.393939393939394,0.202380952380952,NA,2,"1"
150,0,0,0,0.526666666666667,0.493333333333333,0.352112676056338,0.253164556962025,NA,2,"1"
151,0,0,0,0.52,0.466666666666667,0.305555555555556,0.217948717948718,NA,2,"1"
