"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
79,1,1,1,0.553333333333333,0.306666666666667,0,0,2,NA,"1"
80,1,1,1,0.513333333333333,0.373333333333333,0,0,2,NA,"1"
81,1,1,1,0.466666666666667,0.4,0,0,2,NA,"1"
82,1,1,1,0.593333333333333,0.4,0,0,2,NA,"1"
83,1,1,1,0.54,0.4,0,0,2,NA,"1"
84,1,1,1,0.46,0.4,0,0,2,NA,"1"
85,1,1,1,0.46,0.32,0,0,2,NA,"1"
86,1,1,1,0.54,0.36,0,0,2,NA,"1"
87,1,1,1,0.466666666666667,0.346666666666667,0,0,2,NA,"1"
88,1,1,1,0.44,0.346666666666667,0,0,2,NA,"1"
89,1,1,1,0.486666666666667,0.36,0,0,2,NA,"1"
90,1,1,1,0.56,0.293333333333333,0,0,2,NA,"1"
91,1,1,1,0.52,0.426666666666667,0,0,2,NA,"1"
92,1,1,1,0.54,0.4,0,0,2,NA,"1"
93,1,1,1,0.486666666666667,0.426666666666667,0,0,2,NA,"1"
94,1,1,1,0.52,0.333333333333333,0,0,2,NA,"1"
95,1,1,1,0.413333333333333,0.373333333333333,0,0,2,NA,"1"
96,1,1,1,0.56,0.413333333333333,0,0,2,NA,"1"
97,1,1,1,0.506666666666667,0.346666666666667,0,0,2,NA,"1"
98,1,1,1,0.48,0.333333333333333,0,0,2,NA,"1"
99,1,1,1,0.46,0.293333333333333,0,0,2,NA,"1"
100,1,1,1,0.526666666666667,0.426666666666667,0,0,2,NA,"1"
101,1,1,1,0.473333333333333,0.333333333333333,0,0,2,NA,"1"
102,1,1,1,0.506666666666667,0.373333333333333,0,0,2,NA,"1"
103,1,1,1,0.46,0.36,0,0,2,NA,"1"
104,1,1,1,0.513333333333333,0.426666666666667,0,0,2,NA,"1"
105,1,1,1,0.5,0.36,0,0,2,NA,"1"
106,1,1,1,0.513333333333333,0.306666666666667,0,0,2,NA,"1"
107,1,1,1,0.546666666666667,0.36,0,0,2,NA,"1"
108,1,1,1,0.48,0.4,0,0,2,NA,"1"
109,1,1,1,0.493333333333333,0.36,0,0,2,NA,"1"
110,1,1,1,0.546666666666667,0.4,0,0,2,NA,"1"
111,1,1,1,0.486666666666667,0.413333333333333,0,0,2,NA,"1"
112,1,1,1,0.506666666666667,0.4,0,0,2,NA,"1"
113,1,1,1,0.486666666666667,0.36,0,0,2,NA,"1"
114,1,1,1,0.5,0.386666666666667,0,0,2,NA,"1"
115,1,1,1,0.48,0.4,0,0,2,NA,"1"
116,1,1,1,0.526666666666667,0.346666666666667,0,0,2,NA,"1"
117,1,1,1,0.486666666666667,0.426666666666667,0,0,2,NA,"1"
118,1,1,1,0.526666666666667,0.386666666666667,0,0,2,NA,"1"
119,1,1,1,0.42,0.373333333333333,0,0,2,NA,"1"
120,1,1,1,0.533333333333333,0.333333333333333,0,0,2,NA,"1"
121,1,1,1,0.466666666666667,0.373333333333333,0,0,2,NA,"1"
122,1,1,1,0.52,0.386666666666667,0,0,2,NA,"1"
123,1,1,1,0.486666666666667,0.346666666666667,0,0,2,NA,"1"
124,1,1,1,0.46,0.373333333333333,0,0,2,NA,"1"
125,1,1,1,0.52,0.373333333333333,0,0,2,NA,"1"
126,1,1,1,0.486666666666667,0.346666666666667,0,0,2,NA,"1"
127,1,1,1,0.433333333333333,0.386666666666667,0,0,2,NA,"1"
128,1,1,1,0.466666666666667,0.386666666666667,0,0,2,NA,"1"
129,1,1,1,0.493333333333333,0.386666666666667,0,0,2,NA,"1"
130,1,1,1,0.54,0.413333333333333,0,0,2,NA,"1"
131,1,1,1,0.473333333333333,0.373333333333333,0,0,2,NA,"1"
132,1,1,1,0.553333333333333,0.36,0,0,2,NA,"1"
